Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
27/05/2022,"1285,45","+16,88(+1,33%)",607.222.200,"16.091,16 tỷ",41.976.000,"1.361,41 tỷ",36.720.900,"1.237,79 tỷ"
26/05/2022,"1268,57","+0,14(+0,01%)",541.907.363,"13.766,00 tỷ",34.714.400,"1.164,07 tỷ",43.783.200,"1.440,82 tỷ"
25/05/2022,"1268,43","+35,05(+2,84%)",655.242.873,"16.574,25 tỷ",36.423.400,"1.049,29 tỷ",32.710.241,"1.043,25 tỷ"
24/05/2022,"1233,38","+14,57(+1,20%)",528.478.597,"13.415,85 tỷ",39.069.700,"1.240,85 tỷ",40.498.421,"1.044,97 tỷ"
23/05/2022,"1218,81","-21,90(-1,77%)",557.426.453,"13.332,64 tỷ",32.633.200,"933,58 tỷ",42.666.746,"1.369,63 tỷ"
20/05/2022,"1240,71","-0,93(-0,07%)",504.691.537,"12.460,05 tỷ",29.979.800,"903,58 tỷ",43.278.600,"1.324,55 tỷ"
19/05/2022,"1241,64","+0,88(+0,07%)",496.732.680,"12.794,90 tỷ",41.958.585,"1.589,24 tỷ",48.411.185,"1.714,79 tỷ"
18/05/2022,"1240,76","+12,39(+1,01%)",566.363.565,"13.840,50 tỷ",51.194.500,"1.715,56 tỷ",53.666.420,"1.537,20 tỷ"
17/05/2022,"1228,37","+56,42(+4,81%)",583.955.805,"14.297,25 tỷ",55.855.800,"1.675,87 tỷ",55.181.200,"1.710,89 tỷ"
16/05/2022,"1171,95","-10,82(-0,91%)",584.388.589,"14.577,93 tỷ",46.837.700,"1.503,01 tỷ",37.366.600,"1.246,44 tỷ"
13/05/2022,"1182,77","-56,07(-4,53%)",816.985.543,"20.365,80 tỷ",82.580.100,"2.801,60 tỷ",60.730.964,"2.213,73 tỷ"
12/05/2022,"1238,84","-62,69(-4,82%)",557.892.302,"15.775,88 tỷ",35.108.800,"1.603,68 tỷ",45.154.506,"1.711,20 tỷ"
11/05/2022,"1301,53","+7,97(+0,62%)",418.232.360,"11.519,85 tỷ",34.360.900,"1.282,56 tỷ",38.924.700,"1.377,37 tỷ"
10/05/2022,"1293,56","+23,94(+1,89%)",665.476.883,"17.789,06 tỷ",63.581.800,"2.188,72 tỷ",42.798.012,"1.466,28 tỷ"
09/05/2022,"1269,62","-59,64(-4,49%)",673.760.714,"18.768,25 tỷ",47.904.000,"1.877,32 tỷ",35.921.420,"1.303,09 tỷ"
06/05/2022,"1329,26","-31,42(-2,31%)",564.072.624,"17.001,09 tỷ",38.102.800,"1.401,03 tỷ",39.672.200,"1.468,79 tỷ"
05/05/2022,"1360,68","+12,00(+0,89%)",531.075.073,"15.360,99 tỷ",35.702.940,"1.568,05 tỷ",27.787.640,"1.261,88 tỷ"
04/05/2022,"1348,68","-18,12(-1,33%)",528.291.808,"14.454,61 tỷ",17.290.600,"634,65 tỷ",26.955.300,"939,98 tỷ"
29/04/2022,"1366,80","+15,81(+1,17%)",598.401.937,"18.767,41 tỷ",61.039.300,"3.778,44 tỷ",59.660.110,"3.683,28 tỷ"
28/04/2022,"1350,99","-2,78(-0,21%)",485.123.186,"13.308,74 tỷ",29.001.900,"1.228,33 tỷ",41.432.200,"1.535,91 tỷ"
27/04/2022,"1353,77","+12,43(+0,93%)",519.555.426,"14.544,34 tỷ",36.524.406,"1.642,54 tỷ",51.348.906,"1.895,77 tỷ"
26/04/2022,"1341,34","+30,42(+2,32%)",727.648.320,"21.004,15 tỷ",78.273.820,"2.850,64 tỷ",40.949.920,"1.810,73 tỷ"
25/04/2022,"1310,92","-68,31(-4,95%)",762.880.158,"21.945,23 tỷ",64.519.000,"2.258,80 tỷ",56.875.772,"2.032,62 tỷ"
22/04/2022,"1379,23","+9,02(+0,66%)",834.411.800,"24.790,24 tỷ",80.421.300,"3.384,49 tỷ",51.194.800,"2.460,71 tỷ"
21/04/2022,"1370,21","-14,51(-1,05%)",810.673.733,"23.787,30 tỷ",73.936.500,"2.408,75 tỷ",37.980.599,"1.472,32 tỷ"
20/04/2022,"1384,72","-21,73(-1,55%)",688.324.592,"20.512,20 tỷ",57.566.500,"1.873,92 tỷ",35.694.540,"1.434,62 tỷ"
