CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
AAA,17.6,15.3,16.45,16.95,"70,200",17,"193,600",17.05,"52,200",17.05,200,0.60,3.6%,17.1,"104,300",17.15,"31,700",17.2,"115,300","13,579,700",17.45,16.45,"94,600","444,200","286,156,548"
AAM,11.25,9.82,10.55,10.45,200,10.5,"15,000",10.55,"1,200",10.85,100,0.30,2.8%,10.8,200,10.85,600,10.9,"1,200",300,10.95,10.85,,,"5,939,473"
AAT,20.1,17.5,18.8,18.4,700,18.45,"30,300",18.5,"43,600",18.5,"25,800",-0.30,-1.6%,18.7,"3,700",18.8,"17,700",18.85,"17,700","611,100",19,18.5,,,"17,043,800"
ABS,24.15,21.05,22.6,22.4,"3,500",22.5,"2,200",22.6,"5,600",22.65,"13,400",0.05,0.2%,22.65,"8,900",22.7,"3,700",22.75,"3,500","449,400",22.9,22.3,,,
ACB,38.5,33.5,36,35.45,"31,900",35.5,"631,600",35.55,"64,700",35.55,"364,100",-0.45,-1.3%,35.6,"131,800",35.65,"36,100",35.7,"89,400","8,620,800",36.15,35.45,,,75
ACC,15.8,13.8,14.8,14.6,"1,600",14.7,"1,000",14.8,"1,800",14.8,"1,000",0.00,0.0%,14.9,700,14.95,900,15,"2,800","29,200",15,14.6,"1,300",,"11,087,273"
ACL,12.4,10.8,11.6,11.45,300,11.5,"15,400",11.55,400,11.6,900,0.00,0.0%,11.6,100,11.65,"7,500",11.7,"1,500","82,300",11.75,11.6,"6,500",,"18,189,215"
ADG,46.75,40.65,43.7,43.6,"4,900",43.65,"5,800",43.7,"6,600",43.8,800,0.10,0.2%,43.8,"3,400",43.9,"3,500",44,"4,500","77,300",43.8,43.5,"1,100",,"4,159,871"
ADS,32.15,27.95,30.05,29.6,"29,200",29.65,"1,800",29.7,"10,200",29.7,"42,100",-0.35,-1.2%,29.8,"11,700",29.9,"3,300",29.95,200,"349,700",30.1,29.55,"9,800","2,500","13,587,818"
AGG,56.3,49.05,52.7,51.9,"14,700",52,"141,600",52.1,"12,800",52.1,"127,900",-0.60,-1.1%,52.4,"20,000",52.5,"1,000",52.7,"10,800","2,081,700",54,51.8,"1,200","150,700","29,357,952"
AGM,32.3,28.1,30.2,30,"1,600",30.2,"3,400",30.3,600,30.3,"5,000",0.10,0.3%,31.9,"5,100",32,"2,100",32.3,"4,200","36,700",31.9,30.3,,,"7,767,330"
AGR,15.4,13.4,14.4,13.95,"6,200",14,"233,400",14.05,"56,900",14.05,"96,600",-0.35,-2.4%,14.1,"34,700",14.15,"48,800",14.2,"237,100","2,625,800",14.45,14.05,"1,400",,"103,112,021"
AMD,5.13,4.47,4.8,4.49,"16,800",4.5,"347,000",4.51,"129,300",4.51,"592,600",-0.29,-6.0%,4.55,100,4.56,"45,000",4.57,100,"5,954,100",4.76,4.51,"17,400","250,000","77,212,193"
ANV,31.25,27.25,29.25,28.7,400,28.75,600,28.8,"2,400",28.8,"72,300",-0.45,-1.5%,29,"5,500",29.2,"11,100",29.25,"8,100","823,000",29.9,28.8,"5,200","92,500","60,767,315"
APC,21.95,19.15,20.55,20.5,"3,800",20.55,600,20.6,400,20.7,"2,000",0.15,0.7%,20.9,600,21,"1,200",21.2,200,"12,900",20.9,20.55,,,"6,761,144"
APG,10.6,9.25,9.94,10.15,"108,500",10.2,"54,800",10.25,"3,900",10.3,"17,900",0.36,3.6%,10.3,"19,800",10.35,"18,500",10.4,"113,800","2,696,900",10.5,9.95,"20,700","54,500","33,524,750"
APH,48.15,41.85,45,46.7,"15,400",46.8,"14,300",46.85,500,46.9,"8,300",1.90,4.2%,46.9,"4,600",46.95,"2,500",47,"10,100","2,083,700",47,44.75,"10,100",500,"127,549,694"
ASM,14.3,12.5,13.4,13.15,"9,300",13.2,"67,800",13.25,"62,800",13.3,"74,600",-0.10,-0.7%,13.3,"10,300",13.35,"49,300",13.4,"46,200","2,173,300",13.5,13.25,,,"124,164,191"
ASP,7.45,6.49,6.97,7,"6,500",7.01,"2,200",7.02,800,7.05,200,0.08,1.1%,7.05,"1,400",7.06,"1,100",7.09,"3,000","69,400",7.06,6.92,,,66
AST,53.2,46.35,49.8,49.5,"2,500",49.65,200,49.7,200,49.85,100,0.05,0.1%,49.85,200,49.9,200,50,"6,100","19,700",50,49.5,"2,200","3,300","2,859,378"
BCE,11.35,9.91,10.65,10.7,"5,200",10.75,"7,500",10.8,"12,800",10.8,"8,000",0.15,1.4%,10.85,200,10.9,"3,800",10.95,"1,700","190,800",11.1,10.5,"5,400",,"16,478,186"
BCG,15.05,13.15,14.1,13.8,"34,900",13.85,"16,800",13.9,"98,900",13.95,"87,100",-0.15,-1.1%,13.95,"4,400",14,"30,100",14.05,"21,300","4,425,400",14.7,13.9,"36,100","41,000","63,209,330"
BCM,44.7,38.9,41.8,44.6,"1,100",44.65,100,44.7,"8,100",44.7,"9,600",2.90,6.9%,,,,,,,"205,800",44.7,41,300,,"486,256,640"
BFC,35.75,31.15,33.45,35.3,"55,100",35.35,"94,100",35.4,"240,300",35.5,"35,600",2.05,6.1%,35.5,600,35.6,"6,800",35.7,"30,500","1,035,200",35.6,33.6,"7,400",100,"25,859,476"
BHN,57.7,50.3,54,53.5,100,54,"3,400",54.1,700,54.4,100,0.40,0.7%,54.4,300,54.5,"1,500",55,"1,100","4,200",54.4,52.8,,,"73,184,170"
BIC,25.85,22.55,24.2,23.65,"45,300",23.7,"8,000",23.75,"3,000",23.8,500,-0.40,-1.7%,23.8,"8,600",23.9,100,23.95,200,"206,600",24.4,23.4,"106,300","31,900","2,954,061"
BID,45.95,39.95,42.95,42.7,"2,500",42.75,"1,100",42.8,"1,200",42.9,"155,200",-0.05,-0.1%,42.9,"9,200",42.95,"18,200",43,"81,300","1,868,300",43.4,42.6,"111,000","230,400","533,894,446"
BKG,11.65,10.15,10.9,10.7,"6,500",10.75,"13,700",10.8,"4,300",10.8,"12,200",-0.10,-0.9%,10.9,"4,300",10.95,"5,100",11,"29,000","192,400",11,10.75,,,"15,619,600"
BMC,15.4,13.4,14.4,14.4,"24,300",14.45,"5,600",14.5,100,14.5,"6,000",0.10,0.7%,14.55,"3,000",14.6,"5,100",14.7,500,"66,900",14.8,14.45,"6,500","1,900","4,830,862"
BMI,44.7,38.9,41.8,40.2,"28,900",40.25,"4,100",40.3,700,40.3,"152,300",-1.50,-3.6%,40.35,300,40.4,"2,200",40.45,"1,600","1,281,800",41.8,40.2,"73,100","53,900","15,318,929"
BMP,60.7,52.9,56.8,56.5,"3,200",56.6,600,56.7,400,56.8,100,0.00,0.0%,56.8,"8,700",57,500,57.2,200,"40,100",56.8,56.6,"24,600",,"13,400,703"
BRC,13.65,11.95,12.8,12.6,500,12.7,100,12.8,400,12.8,500,0.00,0.0%,12.9,300,12.95,"3,200",13,"5,200","3,800",12.95,12.8,,,"6,000,328"
BTP,17.1,14.9,16,15.4,200,15.6,"2,000",15.65,"4,100",15.9,300,-0.10,-0.6%,15.9,"1,200",15.95,"3,900",16,"1,000",800,15.95,15.9,,,"23,777,924"
BTT,56.7,49.3,53,49.3,"1,200",50,"2,000",50.5,"2,500",,,,,53,400,,,,,,,,,,"5,985,557"
BVH,57.3,49.85,53.6,53.5,"10,100",53.6,"1,000",53.7,100,53.8,"22,300",0.20,0.4%,53.8,"1,800",53.9,"4,200",54,"40,200","1,125,800",54,52.7,"350,500","18,600","164,072,390"
BWE,42.15,36.65,39.4,38.15,200,38.2,"14,500",38.25,"3,000",38.25,"62,300",-1.15,-2.9%,38.5,100,38.6,"4,300",38.7,"10,000","611,400",39.6,38.25,"4,700","21,300","61,244,860"
C32,25.1,21.9,23.5,23.4,200,23.45,"2,100",23.5,300,23.55,100,0.05,0.2%,23.55,"1,900",23.65,"5,100",23.7,"15,600","65,500",23.65,23.35,200,,"5,753,782"
C47,11.75,10.25,11,10.8,"20,800",10.85,"21,300",10.9,"2,000",10.9,"2,000",-0.10,-0.9%,11,"27,200",11.05,"19,000",11.1,"16,400","138,500",11.1,10.85,200,"2,400","9,143,529"
CCI,19.75,17.25,18.5,17.9,100,18,"2,600",18.1,100,18,700,-0.50,-2.7%,18.5,"1,000",19,"1,100",19.5,"3,100","6,000",19.2,18,,,
CCL,13.2,11.5,12.35,12.2,"26,500",12.25,"15,400",12.3,"30,900",12.35,"34,300",0.00,0.0%,12.35,"35,200",12.4,"24,300",12.45,"1,000","547,800",12.8,12.25,"14,400",300,"22,668,407"
CDC,14.55,12.65,13.6,13.3,200,13.4,300,13.45,500,13.5,300,-0.10,-0.7%,13.5,"2,700",13.6,400,13.85,600,"2,300",13.5,13.2,,,"10,681,549"
CEE,13.3,11.6,12.45,12,500,12.05,100,12.45,200,12.8,100,0.35,2.8%,12.8,500,12.9,"2,700",13,"1,600","1,500",12.9,12.8,,,"20,332,650"
CFPT2102,9.55,6.87,8.21,,,,,,,6.87,200,-1.34,-16.3%,6.87,"23,400",7,700,7.6,500,"182,100",8.19,6.87,"2,500",,"998,000"
CFPT2103,5.75,3.07,4.41,3.65,"18,300",3.66,100,3.69,"7,000",3.69,"22,700",-0.72,-16.3%,3.88,"75,400",3.9,"1,000",3.96,"1,000","2,188,900",5.75,3.18,"4,000",,"5,000,000"
CHDB2101,2.79,1.81,2.3,2.11,"1,100",2.14,"1,400",2.16,"6,200",2.24,100,-0.06,-2.6%,2.24,"5,700",2.25,"1,600",2.28,700,"31,200",2.4,2.16,,"1,300","1,993,700"
CHP,20,17.4,18.7,18.2,"10,000",18.4,"1,000",18.55,500,18.7,900,0.00,0.0%,18.65,500,18.7,700,18.75,"2,400","47,500",18.7,18.5,,,"66,375,192"
CHPG2101,8.05,5.75,6.9,6.52,"2,000",6.53,200,6.54,"1,000",6.7,100,-0.20,-2.9%,6.7,"4,000",6.79,"6,100",6.8,"3,600","68,700",6.9,5.75,100,,"1,997,700"
CHPG2106,11.11,6.49,8.8,8.61,"1,000",8.62,"2,100",8.64,"1,300",8.65,"1,900",-0.15,-1.7%,8.65,400,8.79,"3,000",8.8,"116,900","77,500",9.01,8.62,"10,200",,"2,999,200"
CHPG2107,2.42,0.58,1.5,1.31,300,1.33,"50,000",1.34,"111,000",1.35,"14,400",-0.15,-10.0%,1.35,"96,600",1.43,"8,800",1.49,"10,200","906,100",1.48,1.3,"255,700","637,700","1,675,300"
CHPG2108,2.42,0.58,1.5,1.29,200,1.3,"1,000",1.33,"93,800",1.34,"4,000",-0.16,-10.7%,1.34,"85,800",1.42,200,1.47,"1,400","879,300",1.5,1.3,"619,500","253,400","2,314,300"
CHPG2109,13,6.2,9.6,8.07,"1,100",8.1,600,8.2,"1,200",8.4,"1,500",-1.20,-12.5%,8.4,"4,700",8.58,"10,000",8.59,"3,000","70,900",9.89,8.2,,,"1,000,000"
CIG,7.86,6.84,7.35,,,7,"2,500",7.01,"3,000",7.25,100,-0.10,-1.4%,7.25,"10,600",7.3,"10,200",7.31,200,"2,700",7.25,7,,,"15,451,024"
CII,17.85,15.55,16.7,17.05,"46,200",17.1,"93,600",17.15,"61,400",17.15,"84,800",0.45,2.7%,17.2,"22,100",17.25,"7,500",17.3,"49,600","2,708,200",17.5,16.7,"34,500","2,000","134,983,676"
CKDH2002,5.22,3.66,4.44,4.36,500,4.55,"11,300",4.57,"84,800",4.57,"4,000",0.13,2.9%,4.61,"88,800",4.7,700,4.8,"2,800","402,000",4.81,4.48,"340,400","58,400","801,440"
CKDH2101,3.8,2.56,3.18,3.1,"5,000",3.12,"1,000",3.16,"13,100",3.16,"22,200",-0.02,-0.6%,3.23,500,3.24,"1,000",3.25,"1,200","170,400",3.3,3.02,,"20,000","1,864,400"
CKDH2102,8.33,5.21,6.77,6.93,"5,000",6.95,"2,300",6.96,"1,000",6.95,"5,000",0.18,2.7%,7.15,"3,000",7.19,"10,100",7.2,"1,900","148,800",7.22,6.41,,"13,900","1,962,600"
CKG,20.1,17.5,18.8,18.7,"113,400",18.75,"13,700",18.8,"57,200",18.8,"140,800",0.00,0.0%,18.85,"16,300",18.9,"17,200",18.95,"14,100","4,273,000",19.3,18.65,"85,100",,"38,540,704"
CLC,34.95,30.45,32.7,32.2,"2,000",32.25,"3,300",32.3,"1,000",32.3,500,-0.40,-1.2%,32.5,"2,800",33,600,33.1,800,"5,600",33,32,300,,"12,300,189"
CLL,32.8,28.6,30.7,30.7,"2,800",30.75,900,30.8,"2,000",30.9,500,0.20,0.7%,31,"4,100",31.5,400,31.75,"1,200","38,400",31.75,30.5,"1,500",,"14,144,839"
CLW,32.1,27.9,30,,,27.9,100,28.4,100,,,,,,,,,,,,,,,,"5,747,710"
CMBB2102,1,0.44,0.72,0.57,"2,600",0.6,"4,500",0.63,"50,000",0.64,300,-0.08,-11.1%,0.64,"11,900",0.65,"4,200",0.66,"10,100","82,900",0.67,0.5,"30,800","39,300","784,600"
CMBB2103,4.86,2.04,3.45,3.55,"4,400",3.6,"12,300",3.67,"6,800",3.79,"2,100",0.34,9.9%,3.79,"5,900",3.8,"39,700",3.83,"10,000","2,307,900",4.86,3.6,,,"5,000,000"
CMG,48.15,41.85,45,45,"4,100",45.05,100,45.1,"4,000",45.3,"3,300",0.30,0.7%,45.3,100,45.35,"2,600",45.4,900,"165,700",45.7,44.1,"2,500","34,600","10,766,264"
CMSN2101,3.02,2.08,2.55,2.38,200,2.4,"4,200",2.41,"2,000",2.5,100,-0.05,-2.0%,2.5,"6,900",2.52,"4,000",2.55,"14,600","62,700",2.6,2.22,,,"1,995,700"
CMSN2102,2.57,1.63,2.1,1.89,"1,100",1.9,"11,000",1.91,"5,000",1.91,"2,000",-0.19,-9.0%,2.05,"6,600",2.06,200,2.09,"3,700","22,700",2.1,1.89,,,"1,999,000"
CMSN2103,9.68,6.52,8.1,7.55,"2,100",7.6,"1,400",7.61,"1,200",7.61,500,-0.49,-6.0%,7.79,"5,000",7.84,100,7.85,"2,400","29,900",8.1,7.6,,,"2,500,000"
CMV,15.2,13.3,14.25,13.55,100,13.8,300,14.2,100,14.3,100,0.05,0.4%,14.3,300,14.35,400,14.7,"1,000","6,200",14.3,13.3,100,,"8,861,087"
CMWG2104,7.64,5.22,6.43,6.36,"1,400",6.4,"14,300",6.41,500,6.41,300,-0.02,-0.3%,6.5,"14,300",6.51,300,6.53,200,"132,000",6.58,6.4,,,"4,997,900"
CMWG2105,7.36,4.34,5.85,5.51,"1,000",5.56,500,5.62,200,5.68,"2,000",-0.17,-2.9%,5.68,600,5.69,"2,000",5.7,"2,000","59,200",6,5.5,,,"2,490,000"
CMWG2106,5.46,3.04,4.25,3.32,"3,000",3.33,"2,300",3.34,"1,500",3.65,100,-0.60,-14.1%,3.65,"3,000",4.25,"20,000",4.68,"2,000","859,700",5.1,3.18,,,"5,000,000"
CMX,13.3,11.6,12.45,12.7,"10,400",12.75,900,12.8,"2,000",12.8,"8,900",0.35,2.8%,12.85,"6,900",12.9,"31,000",12.95,"1,500","289,400",12.85,12.6,100,"20,300","9,128,054"
CNG,26.75,23.25,25,24.65,"5,900",24.7,"1,900",24.8,"4,200",24.8,"2,900",-0.20,-0.8%,24.9,"1,100",24.95,"1,500",25,"12,400","86,200",25.05,24.65,,"1,300","11,904,449"
CNVL2101,5.84,4.56,5.2,5.05,400,5.06,"2,900",5.1,"10,000",5.17,300,-0.03,-0.6%,5.17,"7,900",5.2,"2,000",5.3,"2,700","35,600",5.4,5.06,,,"1,980,000"
CNVL2102,3.23,1.97,2.6,2.36,200,2.37,"8,500",2.38,"5,500",2.5,"16,000",-0.10,-3.8%,2.5,200,2.54,"9,500",2.55,"10,000","137,900",2.5,2.36,"44,500",,"2,917,600"
COM,48.15,41.85,45,,,,,,,42,100,-3.00,-6.7%,45,100,48.15,500,,,100,42,42,,,"6,861,887"
CPDR2101,3.8,1.2,2.5,2.25,200,2.3,"3,100",2.41,"88,800",2.47,600,-0.03,-1.2%,2.42,"88,800",2.47,"2,000",2.49,"20,000","87,700",2.52,2.33,"62,500","25,000","996,000"
CPDR2102,4.88,2.28,3.58,3.4,"1,000",3.42,"3,000",3.51,"111,000",3.6,200,0.02,0.6%,3.52,"111,000",3.58,"2,700",3.63,400,"208,000",3.63,3.4,"150,500","51,600","502,400"
CPNJ2104,3.99,2.33,3.16,,,,,2.33,"5,700",2.33,"7,000",-0.83,-26.3%,2.36,"20,500",2.4,"9,300",2.42,100,"663,400",3.78,2.33,,,"5,000,000"
CRC,10.45,9.12,9.8,9.53,"1,000",9.54,"1,500",9.55,"3,700",9.65,600,-0.15,-1.5%,9.65,200,9.7,"5,400",9.75,700,"92,600",9.8,9.55,900,,"7,217,830"
CRE,56.3,49.05,52.7,51.7,"21,700",51.8,"13,900",51.9,"18,200",52,"66,600",-0.70,-1.3%,52,"26,600",52.1,"7,700",52.2,"3,700","1,696,600",53.3,51.9,,"15,000","43,798,527"
CSBT2101,1.56,1.04,1.3,1.1,"39,300",1.12,"1,300",1.13,"5,000",1.15,300,-0.15,-11.5%,1.15,"31,800",1.29,"1,000",1.3,"6,400","54,700",1.37,1.04,100,,"2,000,000"
CSM,18.95,16.55,17.75,17,"2,400",17.5,"1,400",17.75,"2,000",17.8,100,0.05,0.3%,17.8,900,17.85,100,17.9,400,"50,300",17.8,17.75,,,"49,841,420"
CSTB2101,6.82,4.68,5.75,5.53,"6,000",5.54,"5,000",5.57,"1,000",5.6,"1,000",-0.15,-2.6%,5.6,"13,600",5.67,300,5.68,200,"80,800",5.75,5.5,,,"2,000,000"
CSTB2104,10.92,6.62,8.77,8.34,100,8.49,"5,000",8.5,"2,100",8.51,"3,200",-0.26,-3.0%,8.51,300,8.52,"25,100",8.64,100,"81,500",8.89,8.5,"6,900",,"2,500,000"
CSTB2105,12.13,7.83,9.98,,,,,,,7.83,"1,400",-2.15,-21.5%,7.83,"77,400",7.88,"4,600",8.2,500,"411,800",8.2,7.83,,,"996,000"
CSV,35.8,31.2,33.5,32.75,"1,100",32.8,"30,800",32.85,"14,000",32.85,"13,600",-0.65,-1.9%,32.9,"4,200",33,"16,100",33.05,"1,800","530,200",33.85,32.8,"3,200","25,300","16,040,126"
CTCB2101,27.6,20.35,24,23,"5,700",23.01,600,23.1,600,23.6,600,-0.40,-1.7%,23.6,700,23.8,100,23.9,"21,900","45,200",24.3,23.5,,,"1,964,900"
CTCB2104,7.19,3.57,5.39,4.4,200,4.45,300,4.5,"12,400",4.5,"4,700",-0.89,-16.5%,4.63,"39,300",4.78,100,4.85,"7,500","117,000",5.38,4.5,,,"2,000,000"
CTCH2003,0.37,0.01,0.04,0.02,"290,200",0.03,"100,000",0.04,"25,000",0.05,100,0.01,25.0%,0.05,"55,100",0.06,"128,600",0.07,"18,700","357,700",0.06,0.02,,,"5,948,900"
CTCH2101,0.96,0.3,0.63,0.51,"2,600",0.52,"1,900",0.53,"2,200",0.65,700,0.02,3.2%,0.65,"3,000",0.66,500,0.67,"8,800","36,100",0.67,0.5,,,"2,000,000"
CTCH2102,0.71,0.01,0.06,0.02,"47,000",0.03,"91,100",0.04,"47,800",0.04,"4,000",-0.02,-33.3%,0.05,"29,200",0.06,"78,200",0.07,"3,600","173,500",0.06,0.03,,,"1,968,300"
CTCH2103,0.37,0.01,0.05,0.01,"485,900",0.02,"479,200",0.03,"231,000",0.03,800,-0.02,-40.0%,0.04,"186,000",0.05,"76,000",0.06,"191,200","659,200",0.05,0.03,"1,000",,"4,992,500"
CTD,68,59.2,63.6,64.8,"7,100",65,"4,800",65.2,"1,000",65.4,"19,000",1.80,2.8%,65.4,"2,300",65.5,"29,000",65.6,"28,300","671,300",66.8,63.2,"7,400","1,800","4,119,609"
CTF,21.5,18.7,20.1,19.7,"2,900",19.75,500,19.8,"11,100",20.05,100,-0.05,-0.2%,20.05,"2,500",20.1,"1,800",20.15,"2,000","287,600",20.05,19.7,,"1,000","33,203,632"
CTG,36.55,31.85,34.2,34.05,"145,000",34.1,"236,000",34.15,"72,200",34.15,"1,204,800",-0.05,-0.1%,34.2,"168,200",34.25,"63,900",34.3,"29,500","18,941,900",34.9,34.1,"479,400","1,202,900","203,416,600"
CTI,15.35,13.35,14.35,14.4,"49,800",14.45,"11,800",14.5,"17,600",14.5,"52,000",0.15,1.0%,14.6,300,14.7,"5,900",14.75,"7,400","543,400",14.9,14.4,"17,100",,"30,220,385"
CTS,24,20.9,22.45,21.75,"4,400",21.8,"168,900",21.85,"23,100",21.9,"87,900",-0.55,-2.4%,21.9,"11,200",21.95,"14,300",22,"67,400","1,520,600",22.45,21.8,700,"42,700","49,602,241"
CVHM2101,2.77,1.81,2.29,2.26,"1,100",2.3,"1,500",2.32,200,2.4,400,0.11,4.8%,2.4,"10,700",2.43,"9,500",2.44,"15,900","124,000",2.5,2.3,,,"2,000,000"
CVHM2105,1.92,0.01,0.95,1.15,"3,000",1.17,500,1.18,"2,100",1.19,"7,400",0.24,25.3%,1.19,"9,800",1.2,"2,000",1.21,"2,100","477,100",1.4,0.9,,,"2,000,000"
CVHM2106,1.09,0.01,0.31,0.04,"31,000",0.2,"1,000",0.26,"88,100",0.26,"1,000",-0.05,-16.1%,0.27,"89,000",0.31,700,0.35,700,"318,400",0.4,0.22,"15,800","292,500","569,600"
CVIC2101,2.19,1.41,1.8,1.42,"5,000",1.45,"6,000",1.5,"1,400",1.5,"8,900",-0.30,-16.7%,1.62,"6,700",1.63,"8,000",1.64,"4,000","105,000",1.8,1.5,,,"2,000,000"
CVIC2103,1.83,1.05,1.44,1.13,"6,000",1.14,700,1.15,200,1.23,100,-0.21,-14.6%,1.23,900,1.24,"11,700",1.25,"4,800","144,300",1.45,1.1,,,"3,000,000"
CVIC2104,3.56,1.98,2.77,2.3,"7,000",2.31,500,2.32,"5,600",2.49,100,-0.28,-10.1%,2.49,"21,400",2.5,"66,600",2.63,"1,900","1,097,200",3.56,2.2,,,"5,000,000"
CVNM2101,0.85,0.25,0.55,0.4,"16,000",0.5,"1,500",0.55,"4,400",0.55,"10,500",0.00,0.0%,0.58,"6,500",0.59,300,0.6,"21,900","88,700",0.6,0.55,,,"2,000,000"
CVNM2104,1.07,0.01,0.47,0.46,"5,000",0.47,"9,000",0.48,300,0.52,100,0.05,10.6%,0.52,"5,200",0.54,"4,200",0.56,"3,200","78,500",0.81,0.48,,,"1,950,000"
CVNM2105,0.88,0.28,0.58,0.55,"6,000",0.56,"6,000",0.57,"89,800",0.58,600,0.00,0.0%,0.58,"15,400",0.6,"5,400",0.61,"6,300","338,500",0.61,0.51,"141,700","150,600","3,494,500"
CVNM2106,6.8,4.4,5.6,,,,,,,4.4,"1,500",-1.20,-21.4%,4.4,"64,500",4.65,600,4.69,500,"120,300",4.99,4.4,,,"1,000,000"
CVNM2107,2.59,1.39,1.99,1.66,"2,100",1.67,"6,700",1.69,500,1.69,"3,000",-0.30,-15.1%,1.7,"25,800",1.71,300,1.72,"1,900","849,100",1.86,1.5,"6,000",,"4,954,100"
CVPB2104,7.13,4.27,5.7,4.54,"5,000",4.55,"1,000",4.61,"2,200",4.61,"10,100",-1.09,-19.1%,4.88,"6,900",4.96,"3,300",4.98,"2,400","107,200",5.63,4.61,,,"2,000,000"
CVRE2101,1.36,0.4,0.88,0.62,200,0.63,"1,000",0.64,"5,600",0.71,100,-0.17,-19.3%,0.71,800,0.87,"13,000",0.88,"39,300","103,800",0.9,0.6,,,"2,000,000"
CVRE2104,1.02,0.01,0.05,0.02,"50,600",0.03,"38,200",0.04,"61,000",0.04,"5,000",-0.01,-20.0%,0.05,"37,800",0.06,"90,100",0.07,"13,600","250,300",0.06,0.04,,,"2,500,000"
CVT,43,37.4,40.2,,,37.4,100,37.5,"1,100",37.5,"18,500",-2.70,-6.7%,40.2,"3,400",40.3,"1,000",40.5,200,"21,600",40.25,37.5,,"1,000","36,461,050"
D2D,56.6,49.2,52.9,52.9,"11,800",53,"2,200",53.1,"4,500",53.4,"8,000",0.50,0.9%,53.4,200,53.5,"4,500",53.6,"4,700","285,600",54,52.4,400,,"14,177,412"
DAG,5.71,4.97,5.34,5.37,"1,800",5.38,"3,300",5.39,"2,700",5.39,200,0.05,0.9%,5.4,"2,500",5.42,"14,600",5.44,"1,400","226,300",5.49,5.35,"19,800",100,"20,865,161"
DAH,12.15,10.65,11.4,12.05,"79,400",12.1,"146,600",12.15,"464,200",12.15,"2,600",0.75,6.6%,,,,,,,"2,275,600",12.15,11.3,,"2,100",
DAT,22.85,19.95,21.4,,,20,300,20.05,600,21,100,-0.40,-1.9%,21.25,500,21.3,300,21.4,"1,600",300,21.3,21,,,"22,541,167"
DBC,57.9,50.5,54.2,55.2,"12,300",55.3,"14,500",55.4,"1,400",55.5,"90,800",1.30,2.4%,55.5,"71,700",55.6,"5,800",55.7,"8,800","2,452,500",56.1,54,"2,500","16,900","51,974,088"
DBD,44.5,38.7,41.6,41.05,200,41.1,200,41.85,100,42,"3,900",0.40,1.0%,42,"6,500",43,"2,000",43.5,"5,200","21,800",42,41,,,"57,554,631"
DBT,14.15,12.35,13.25,13.05,"2,700",13.1,"5,700",13.15,"2,100",13.2,"1,100",-0.05,-0.4%,13.2,"8,300",13.25,"1,300",13.3,"1,400","72,900",13.5,13.1,,,
DC4,14.55,12.65,13.6,13.4,300,13.5,200,13.55,100,13.55,100,-0.05,-0.4%,13.6,"1,700",13.65,"1,200",13.7,"1,800","11,600",13.8,13.55,,,"15,637,906"
DCL,46.8,40.7,43.75,43,"27,600",43.05,"7,600",43.1,"2,200",43.2,"5,300",-0.55,-1.3%,43.2,"4,300",43.3,"10,300",43.35,"4,100","382,700",43.3,42.6,,"6,800",
DCM,23,20,21.5,21.05,"101,200",21.1,"131,200",21.15,"9,400",21.2,"283,700",-0.30,-1.4%,21.2,"46,600",21.25,"31,100",21.3,"20,300","5,646,100",21.7,21.1,"580,200","134,200","248,897,493"
DGC,106.5,92.7,99.6,97.6,"30,700",97.7,"5,000",97.8,"6,700",97.8,"69,500",-1.80,-1.8%,98,"9,000",98.2,"7,800",98.3,"3,000","1,145,200",99.2,97.8,"36,000","19,000","72,101,125"
DGW,165.8,144.2,155,154.5,"1,200",154.6,400,154.8,300,155,"6,700",0.00,0.0%,155,"5,400",155.1,300,155.4,900,"282,800",160,155,"82,000","7,900","9,996,175"
DHA,45.35,39.45,42.4,43.1,"10,000",43.2,"2,200",43.3,"2,000",44.4,"1,500",2.00,4.7%,44.5,900,44.9,500,45,"11,700","81,900",44.5,42.4,"6,400","30,000","5,709,090"
DHC,96.8,84.2,90.5,89.4,"4,900",89.5,500,90,200,90,"34,900",-0.50,-0.6%,90.1,"5,100",90.2,"15,300",90.3,200,"304,400",90.6,89.3,"50,700","13,000","8,897,173"
DHG,101.5,88.3,94.9,94,100,94.1,100,94.3,500,95.6,100,0.70,0.7%,95,"1,900",95.5,"1,000",95.6,"9,100","21,100",95.8,93,700,"15,000","59,336,505"
DHM,12.25,10.65,11.45,11.2,"4,100",11.25,"5,000",11.3,"5,100",11.35,"35,600",-0.10,-0.9%,11.35,"11,700",11.5,"4,000",11.55,"4,400","384,700",11.6,11.35,"12,300",,"14,741,829"
DIG,29.65,25.85,27.75,28.95,300,29,"183,600",29.05,"40,600",29.05,"294,500",1.30,4.7%,29.1,"17,800",29.2,"193,500",29.25,"58,500","17,865,900",29.65,27.4,"26,700","1,047,500","191,247,932"
DLG,3.54,3.08,3.31,3.21,"51,200",3.22,"1,100",3.23,"5,500",3.24,"247,400",-0.07,-2.1%,3.24,"96,100",3.25,"62,500",3.26,"60,000","9,553,200",3.49,3.21,"52,800","457,900","139,289,489"
