CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
SHA,6.47,5.63,6.05,5.94,"5,000",5.95,"1,100",5.96,600,5.96,"2,000",-0.09,-1.5%,6.04,"5,500",6.05,"1,000",6.07,"2,000","38,700",6.06,5.95,,,"15,466,448"
SHI,20.95,18.25,19.6,20,"69,900",20.05,"10,500",20.1,"66,000",20.2,"154,700",0.60,3.1%,20.2,"18,600",20.3,"1,000",20.35,100,"2,409,100",20.7,19.5,"8,900",800,"48,671,166"
SHP,23.15,20.15,21.65,21.6,"12,200",21.65,"5,300",21.7,"1,400",21.75,100,0.10,0.5%,21.8,"4,300",21.85,200,21.9,200,"8,100",21.75,21.6,,,"41,046,904"
SII,20.3,17.7,19,17.7,100,19,"1,200",19.05,"1,500",,,,,20,300,20.2,300,20.3,200,,,,,,93
SJD,18.4,16,17.2,17.25,"2,500",17.3,"12,500",17.35,"1,900",17.4,200,0.20,1.2%,17.4,"2,000",17.45,"20,000",17.5,"19,600","81,900",17.5,17.2,"14,900","10,000","18,459,327"
SJF,4.2,3.66,3.93,3.87,"1,800",3.88,"3,900",3.89,"13,300",3.9,"71,300",-0.03,-0.8%,3.9,"93,000",3.91,800,3.92,"1,400","1,493,900",4.17,3.89,"1,600","50,100","37,625,486"
SJS,67.7,58.9,63.3,62.9,800,63,"22,300",63.1,"2,300",63.1,"38,200",-0.20,-0.3%,63.3,"1,800",63.4,"2,400",63.5,"3,000","214,600",64,62.8,"1,400","6,300","54,814,813"
SKG,11.75,10.25,11,10.9,"19,300",10.95,"10,500",11,"1,400",11,"6,000",0.00,0.0%,11.1,"32,800",11.15,"3,200",11.2,"5,800","102,100",11.15,10.95,"51,500",,"2,393,749"
SMA,10.55,9.21,9.9,,,,,,,,,,,9.69,"3,500",9.7,100,9.77,"9,500",,,,,,"9,964,906"
SMB,44.05,38.35,41.2,,,40.5,"1,200",40.7,100,41,"1,100",-0.20,-0.5%,41.5,"5,000",42,"10,000",42.6,100,"2,700",41.25,41,,100,"10,910,945"
SMC,50.5,43.9,47.2,47.65,"2,500",47.7,"62,200",47.75,"2,300",47.8,"86,600",0.60,1.3%,47.8,"19,000",47.9,200,47.95,"5,000","1,233,000",48.95,47,"17,500","30,100","16,596,213"
SPM,14.4,12.6,13.5,,,12.6,100,12.85,200,,,,,13.4,"1,000",13.7,300,13.9,200,,,,,,"6,456,950"
SRC,19.35,16.85,18.1,18,"3,000",18.05,700,18.1,600,18.1,100,0.00,0.0%,18.15,200,18.2,"2,200",18.3,"1,400","30,900",18.3,18.1,,,"13,727,734"
SRF,13.35,11.65,12.5,12.3,"10,800",12.35,"2,000",12.5,"1,300",12.5,700,0.00,0.0%,12.55,100,12.6,800,12.65,600,"10,400",12.5,12.15,,,"688,206"
SSB,39.85,34.65,37.25,37.05,"17,100",37.1,"23,600",37.15,"6,200",37.15,"38,200",-0.10,-0.3%,37.2,"22,600",37.25,"27,400",37.3,"25,200","1,449,500",37.45,36.5,,,
SSI,61.5,53.5,57.5,56.2,"83,400",56.3,"119,300",56.4,"35,200",56.4,"1,914,500",-1.10,-1.9%,56.5,"53,900",56.6,"24,000",56.7,"4,300","16,432,800",57.7,56.4,"2,233,500","197,600","325,362,853"
ST8,11.1,9.68,10.4,9.68,"1,500",9.69,800,9.9,"4,200",,,,,11.1,100,,,,,,,,,,
STB,33.2,28.9,31.05,30.2,"558,800",30.25,"123,800",30.3,"621,900",30.3,"3,197,800",-0.75,-2.4%,30.4,"66,400",30.45,"123,100",30.5,"253,500","30,921,200",31.15,30.3,"3,748,000","494,600","271,772,854"
STG,22.35,19.45,20.9,21.7,100,21.8,"5,200",22,100,22.35,"1,400",1.45,6.9%,22.35,"13,200",,,,,"201,600",22.35,20.3,"3,900",,"48,073,760"
STK,48.15,41.85,45,44.4,"2,200",44.5,500,44.6,"2,800",45,"1,600",0.00,0.0%,45,"9,300",45.5,"1,500",45.8,"1,500","22,900",45.9,44,"1,000",600,"25,930,806"
SVC,80.1,69.7,74.9,,,,,69.7,700,71.7,"2,400",-3.20,-4.3%,71.7,500,71.8,300,72,800,"3,200",74.1,69.7,,,"15,682,623"
SVD,8.53,7.43,7.98,7.96,100,8,"7,400",8.01,"1,000",8.01,200,0.03,0.4%,8.02,"1,500",8.03,300,8.04,"1,400","27,700",8.05,7.9,,,"6,211,400"
SVI,74.9,65.1,70,68,200,68.1,600,68.2,200,74,100,4.00,5.7%,,,,,,,"2,500",74,68,"2,000","2,000","670,232"
SVT,17.4,15.2,16.3,15.5,"1,000",15.55,200,15.7,500,,,,,16.15,100,16.2,400,16.3,100,,,,,,"5,673,125"
SZC,46.65,40.55,43.6,44.2,"31,100",44.25,600,44.3,"9,000",44.3,"55,600",0.70,1.6%,44.4,"8,600",44.5,"11,700",44.6,"1,000","2,873,900",45.5,42.75,"40,100","476,200","45,452,000"
SZL,55.3,48.1,51.7,50.9,300,51,"1,300",51.1,300,51.7,500,0.00,0.0%,51.7,200,51.8,600,52,600,"1,700",51.7,51.6,,,"6,186,870"
TAC,60.7,52.9,56.8,55.7,800,55.8,300,56.7,200,56.8,"1,000",0.00,0.0%,56.9,500,57,"1,100",57.1,100,"2,300",57.2,55.7,"1,100",,"15,398,430"
TBC,29.25,25.45,27.35,27.35,"1,300",27.4,"4,900",27.45,"2,000",27.45,"1,000",0.10,0.4%,28,"4,400",28.1,200,28.2,"4,200","3,300",27.45,27.4,,,"30,776,116"
TCB,56.1,48.85,52.5,51.5,"491,200",51.6,"323,400",51.7,"312,300",51.8,"1,480,700",-0.70,-1.3%,51.8,"24,600",51.9,"185,500",52,"131,000","16,084,300",53.2,51.8,"894,300","894,300",
TCD,17.7,15.4,16.55,17.55,200,17.65,"2,600",17.7,"9,300",17.7,"89,300",1.15,6.9%,,,,,,,"586,000",17.7,17,500,"3,500","42,603,215"
TCH,20.25,17.65,18.95,18.75,"234,000",18.8,"231,700",18.85,"52,400",18.85,"716,600",-0.10,-0.5%,18.9,"20,400",18.95,"148,900",19,"262,100","6,248,500",19.1,18.75,"4,500","372,500","151,904,859"
TCL,39.4,34.3,36.85,37.7,"5,100",37.75,"1,700",37.8,500,37.8,"38,100",0.95,2.6%,37.85,"2,000",37.9,"5,600",38,"7,400","497,500",38.5,36.9,"6,900","2,700","13,627,065"
TCM,82.3,71.7,77,75,"2,300",75.1,100,75.5,300,76,"10,600",-1.00,-1.3%,76,"1,900",76.1,"1,900",76.2,"3,000","202,900",76.9,75,400,"6,700","3,461,448"
TCO,21.4,18.6,20,19.7,"2,500",19.8,"5,200",19.85,"3,700",19.9,"5,200",-0.10,-0.5%,19.9,500,20,"10,600",20.1,"1,600","203,700",20.2,19,,100,"8,728,418"
TCR,4.17,3.63,3.9,3.83,"1,300",3.84,100,3.9,"1,500",3.9,"1,000",0.00,0.0%,3.94,"4,600",3.95,"6,500",3.99,100,"8,700",3.94,3.9,,,17
TCT,28.35,24.65,26.5,26.25,"3,100",26.3,"3,300",26.35,400,26.35,100,-0.15,-0.6%,26.9,800,27,"3,100",27.2,200,"6,900",27,26.35,,,"4,493,480"
TDC,19.55,17.05,18.3,18.8,"6,000",18.85,"1,000",18.9,"2,100",18.9,"8,300",0.60,3.3%,19,"28,700",19.1,"17,400",19.15,"5,000","756,300",19.25,18.3,,"6,600","48,942,510"
